chrom_name	window_start	window_end	random_walk	window_weights	max_graph	o_max_graph
chr9	0	5000000	0.10755021506177065	1.0	nan	nan
chr9	2500000	7500000	0.16213464845576286	1.0	nan	nan
chr9	5000000	10000000	0.21583213618698105	1.0	nan	nan
chr9	7500000	12500000	0.3756709798621236	1.0	nan	nan
chr9	10000000	15000000	0.28093824852322924	1.0	nan	nan
chr9	12500000	17500000	0.18753864794261288	1.0	nan	nan
chr9	15000000	20000000	0.09185983864888625	1.0	nan	nan
chr9	17500000	22500000	0.10032858382683951	1.0	nan	nan
chr9	20000000	25000000	0.05481170860547846	1.0	nan	nan
chr9	22500000	27500000	0.09225733741706499	1.0	nan	nan
chr9	25000000	30000000	0.09440667480413545	1.0	nan	nan
chr9	27500000	32500000	0.14454940267811267	1.0	nan	nan
chr9	30000000	35000000	0.27437100364580136	1.0	nan	nan
chr9	32500000	37500000	0.12853812177800084	1.0	nan	nan
chr9	35000000	40000000	0.08838400047374151	1.0	nan	nan
chr9	37500000	42500000	0.1981589041104561	1.0	nan	nan
chr9	40000000	45000000	nan	1.0	nan	nan
chr9	42500000	47500000	nan	1.0	nan	nan
chr9	45000000	50000000	nan	1.0	nan	nan
chr9	47500000	52500000	nan	1.0	nan	nan
chr9	50000000	55000000	nan	1.0	nan	nan
chr9	52500000	57500000	nan	1.0	nan	nan
chr9	55000000	60000000	nan	1.0	nan	nan
chr9	57500000	62500000	nan	1.0	nan	nan
chr9	60000000	65000000	nan	1.0	nan	nan
chr9	62500000	67500000	nan	1.0	nan	nan
chr9	65000000	70000000	nan	1.0	nan	nan
chr9	67500000	72500000	0.1100688557578482	1.0	nan	nan
chr9	70000000	75000000	0.12686895861009306	1.0	nan	nan
chr9	72500000	77500000	0.18667560651116455	1.0	nan	nan
chr9	75000000	80000000	-0.011478374283660386	1.0	nan	nan
chr9	77500000	82500000	-0.05325155254911462	1.0	nan	nan
chr9	80000000	85000000	0.0852247551837082	1.0	nan	nan
chr9	82500000	87500000	0.12361061600215484	1.0	nan	nan
chr9	85000000	90000000	-0.020035373909859766	1.0	nan	nan
chr9	87500000	92500000	-0.010598889294001657	1.0	nan	nan
chr9	90000000	95000000	0.15063324721209814	1.0	nan	nan
chr9	92500000	97500000	0.08133847922428306	1.0	nan	nan
chr9	95000000	100000000	0.08868094763761869	1.0	nan	nan
chr9	97500000	102500000	0.16293886949570524	1.0	nan	nan
chr9	100000000	105000000	0.20855534998365588	1.0	nan	nan
chr9	102500000	107500000	0.1450147938362587	1.0	nan	nan
chr9	105000000	110000000	-0.009162707228865141	1.0	nan	nan
chr9	107500000	112500000	-0.14714849719345535	1.0	nan	nan
chr9	110000000	115000000	-0.11070670783160219	1.0	nan	nan
chr9	112500000	117500000	0.008617645958197251	1.0	nan	nan
chr9	115000000	120000000	0.27699407355782113	1.0	nan	nan
chr9	117500000	122500000	0.024025440003535348	1.0	nan	nan
chr9	120000000	125000000	0.1048044886775199	1.0	nan	nan
chr9	122500000	127500000	0.1703208298530381	1.0	nan	nan
chr9	125000000	130000000	0.12649700635758654	1.0	nan	nan
chr9	127500000	132500000	0.021977356062476083	1.0	nan	nan
chr9	130000000	135000000	-0.05565513478944695	1.0	nan	nan
chr9	132500000	137500000	0.17467921326558455	1.0	nan	nan
chr9	133394717	138394717	0.16700731238894373	1.0	nan	nan
